20190801, 48558
20190802, 73824
20190803, 77704
20190804, 65838
20190805, 147800
20190806, 77892
20190807, 82849
20190808, 50076
20190809, 54667
20190810, 53077
20190811, 57269
20190812, 50910
20190813, 54602
20190814, 42347
20190815, 98975
20190816, 56495
20190817, 81671
20190818, 65047
20190819, 133049
20190820, 196698
20190821, 216345
20190822, 198763
20190823, 137472
20190824, 115951
20190825, 130285
20190826, 113307
20190827, 115591
20190828, 89551
20190829, 165462
20190830, 209360
20190831, 103852
