190601,33700
190601,45220
190602,150
190603,2440
190604,1910
190605,7100
190605,0
190606,1600
190607,3600
190608,1590
190609,170
190610,1020
190611,7640
190612,5700
190613,6040
190613,860
190614,1370
190615,56520
190615,0
190616,100
190617,12010
190618,2567
190619,4920
190620,3930
190620,3430
190621,6180
190622,6600
190623,520
190624,5220
190625,3720
190625,0
190626,2480
190626,550
190627,7380
190627,650
190628,6550
190628,2000
190629,53610
190629,4870
190630,51900
190701,3120
190701,1260
190702,2407
190703,6544
190703,313880
190704,6170
190704,860
190705,7010
190706,56270
190706,390
190707,1080
190708,900
190709,1512
190710,1832
190710,0
190711,1152
190712,3102
190713,0
190714,1445
190715,5910
190716,2695
190716,5000
190717,3300
190717,4350
190718,42458
190719,6760
190720,60740
190720,3990
190721,15400
190722,3997
190723,1990
190723,2690
190724,5360
190725,5880
190726,3510
190727,1440
190727,13100
190728,350
190729,1410
190730,1620
190731,4400
190801,2380
190802,1380
190803,0
190804,200
190805,3420
190806,4370
190807,4850
190808,1630
190809,2030
190810,1350
190811,370
190812,1237
190813,1990
190814,1690
190815,2900
190816,1790
190817,4300
190818,1180
190819,4520
190820,4190
190820,2890
190821,3100
190821,6010
190822,4780
190823,4380
190824,23630
190824,1510
190825,200
190826,1830
190827,4730
190828,7030
190828,27100
190829,8370
190830,7580
190831,73530
190831,15680
